"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","BZN|PT","Without Sequence","242.23","",""
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","BZN|PT","Without Sequence","217.03","",""
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","BZN|PT","Without Sequence","198.93","",""
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","BZN|PT","Without Sequence","210.34","",""
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","BZN|PT","Without Sequence","202.42","",""
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","BZN|PT","Without Sequence","197.60","",""
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","BZN|PT","Without Sequence","193.00","",""
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","BZN|PT","Without Sequence","194.90","",""
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","BZN|PT","Without Sequence","204.45","",""
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","BZN|PT","Without Sequence","219.32","",""
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","BZN|PT","Without Sequence","228.38","",""
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","BZN|PT","Without Sequence","249.97","",""
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","BZN|PT","Without Sequence","249.97","",""
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","BZN|PT","Without Sequence","242.47","",""
"11/01/2022 11:00:00 - 11/01/2022 12:00:00","BZN|PT","Without Sequence","212.20","",""
"11/01/2022 12:00:00 - 11/01/2022 13:00:00","BZN|PT","Without Sequence","207.10","",""
"11/01/2022 13:00:00 - 11/01/2022 14:00:00","BZN|PT","Without Sequence","207.00","",""
"11/01/2022 14:00:00 - 11/01/2022 15:00:00","BZN|PT","Without Sequence","206.80","",""
"11/01/2022 15:00:00 - 11/01/2022 16:00:00","BZN|PT","Without Sequence","206.80","",""
"11/01/2022 16:00:00 - 11/01/2022 17:00:00","BZN|PT","Without Sequence","212.00","",""
"11/01/2022 17:00:00 - 11/01/2022 18:00:00","BZN|PT","Without Sequence","242.47","",""
"11/01/2022 18:00:00 - 11/01/2022 19:00:00","BZN|PT","Without Sequence","260.00","",""
"11/01/2022 19:00:00 - 11/01/2022 20:00:00","BZN|PT","Without Sequence","261.97","",""
"11/01/2022 20:00:00 - 11/01/2022 21:00:00","BZN|PT","Without Sequence","262.66","",""
"11/01/2022 21:00:00 - 11/01/2022 22:00:00","BZN|PT","Without Sequence","245.00","",""
"11/01/2022 22:00:00 - 11/01/2022 23:00:00","BZN|PT","Without Sequence","227.47","",""
"11/01/2022 23:00:00 - 12/01/2022 00:00:00","BZN|PT","Without Sequence","211.63","",""
